cc,country,probe,target,ip,host,rdns,rtt,server,server_cc,domestic,school_cov,serve_loc,mlab_rtt
BJ,Benin,13245,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,119.51,los02,NG,False,0.0,Amsterdam NL,12.7
BJ,Benin,60812,wikipedia,185.15.58.224,WIKIMEDIA - Wikimedia Fo,text-lb.drmrs.wikimedia.org,130.946,los02,NG,False,0.0,Marseille FR,12.7
BJ,Benin,64328,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,109.771,los02,NG,False,0.0,Amsterdam NL,12.7
BW,Botswana,60649,wikipedia,185.15.58.224,WIKIMEDIA - Wikimedia Fo,text-lb.drmrs.wikimedia.org,173.51,jnb01,ZA,False,0.0,Marseille FR,22.3
CG,Congo (Brazzaville),64655,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,197.978,los02,NG,False,0.0,Amsterdam NL,
CG,Congo (Brazzaville),65677,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,166.085,los02,NG,False,0.0,Amsterdam NL,
FJ,Fiji,60575,wikipedia,103.102.166.224,WIKIMEDIA - Wikimedia Fo,text-lb.eqsin.wikimedia.org,186.737,akl01,NZ,False,0.0,Singapore,89.7
HN,Honduras,23023,wikipedia,208.80.154.224,WIKIMEDIA - Wikimedia Fo,text-lb.eqiad.wikimedia.org,72.973,mex01,MX,False,65.8,Ashburn US,80.5
HN,Honduras,61860,wikipedia,208.80.154.224,WIKIMEDIA - Wikimedia Fo,text-lb.eqiad.wikimedia.org,93.318,mex01,MX,False,65.8,Ashburn US,80.5
KE,Kenya,4078,wikipedia,185.15.58.224,WIKIMEDIA - Wikimedia Fo,text-lb.drmrs.wikimedia.org,144.256,nbo01,KE,True,13.6,Marseille FR,19.5
KE,Kenya,22218,wikipedia,185.15.58.224,WIKIMEDIA - Wikimedia Fo,text-lb.drmrs.wikimedia.org,163.182,nbo01,KE,True,13.6,Marseille FR,19.5
KE,Kenya,50022,wikipedia,185.15.58.224,WIKIMEDIA - Wikimedia Fo,text-lb.drmrs.wikimedia.org,132.796,nbo01,KE,True,13.6,Marseille FR,19.5
KG,Kyrgyzstan,64119,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,125.975,lhe152605,PK,False,73.7,Amsterdam NL,235.0
KG,Kyrgyzstan,65240,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,98.357,lhe152605,PK,False,73.7,Amsterdam NL,235.0
KN,Saint Kitts and Nevis,1000988,wikipedia,208.80.154.224,WIKIMEDIA - Wikimedia Fo,text-lb.eqiad.wikimedia.org,74.212,bog05,CO,False,0.0,Ashburn US,170.7
KZ,Kazakhstan,4485,wikipedia,185.15.58.224,WIKIMEDIA - Wikimedia Fo,text-lb.drmrs.wikimedia.org,100.987,lhe152605,PK,False,68.2,Marseille FR,233.7
KZ,Kazakhstan,6730,wikipedia,185.15.58.224,WIKIMEDIA - Wikimedia Fo,text-lb.drmrs.wikimedia.org,98.362,lhe152605,PK,False,68.2,Marseille FR,233.7
KZ,Kazakhstan,6881,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,88.59,lhe152605,PK,False,68.2,Amsterdam NL,233.7
LC,Saint Lucia,27546,wikipedia,208.80.154.224,WIKIMEDIA - Wikimedia Fo,text-lb.eqiad.wikimedia.org,88.913,bog05,CO,False,0.8,Ashburn US,121.9
LK,Sri Lanka,35547,wikipedia,103.102.166.224,WIKIMEDIA - Wikimedia Fo,text-lb.eqsin.wikimedia.org,79.488,maa01,IN,False,85.2,Singapore,174.9
LK,Sri Lanka,64185,wikipedia,103.102.166.224,WIKIMEDIA - Wikimedia Fo,text-lb.eqsin.wikimedia.org,38.961,maa01,IN,False,85.2,Singapore,174.9
LS,Lesotho,62155,wikipedia,185.15.58.224,WIKIMEDIA - Wikimedia Fo,text-lb.drmrs.wikimedia.org,184.196,jnb01,ZA,False,0.0,Marseille FR,13.5
MD,Republic of Moldova,11874,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,,sof02,BG,False,92.3,Amsterdam NL,42.1
MD,Republic of Moldova,35796,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,39.887,sof02,BG,False,92.3,Amsterdam NL,42.1
MD,Republic of Moldova,64063,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,38.611,sof02,BG,False,92.3,Amsterdam NL,42.1
ME,Montenegro,33300,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,45.722,tgd01,ME,True,62.1,Amsterdam NL,6.1
ME,Montenegro,65986,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,39.452,tgd01,ME,True,62.1,Amsterdam NL,6.1
ME,Montenegro,1003553,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,36.053,tgd01,ME,True,62.1,Amsterdam NL,6.1
MN,Mongolia,51529,wikipedia,103.102.166.224,WIKIMEDIA - Wikimedia Fo,text-lb.eqsin.wikimedia.org,86.477,uln10076,MN,True,12.9,Singapore,10.5
MN,Mongolia,52385,wikipedia,103.102.166.224,WIKIMEDIA - Wikimedia Fo,text-lb.eqsin.wikimedia.org,93.759,uln10076,MN,True,12.9,Singapore,10.5
MN,Mongolia,65904,wikipedia,103.102.166.224,WIKIMEDIA - Wikimedia Fo,text-lb.eqsin.wikimedia.org,85.752,uln10076,MN,True,12.9,Singapore,10.5
MW,Malawi,1004128,wikipedia,185.15.58.224,WIKIMEDIA - Wikimedia Fo,text-lb.drmrs.wikimedia.org,167.689,mpm02,MZ,False,0.0,Marseille FR,43.5
NA,Namibia,12385,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,144.124,cpt01,ZA,False,6.8,Amsterdam NL,42.0
NA,Namibia,12803,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,217.23,cpt01,ZA,False,6.8,Amsterdam NL,42.0
RW,Rwanda,14955,wikipedia,185.15.58.224,WIKIMEDIA - Wikimedia Fo,text-lb.drmrs.wikimedia.org,160.108,nbo01,KE,False,0.0,Marseille FR,160.7
TT,Trinidad and Tobago,18923,wikipedia,208.80.154.224,WIKIMEDIA - Wikimedia Fo,text-lb.eqiad.wikimedia.org,74.313,bog05,CO,False,7.7,Ashburn US,114.4
UZ,Uzbekistan,7355,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,3061.29,lyp138910,PK,False,81.8,Amsterdam NL,226.4
ZA,South Africa,242,wikipedia,185.15.58.224,WIKIMEDIA - Wikimedia Fo,text-lb.drmrs.wikimedia.org,184.87,cpt01,ZA,True,40.2,Marseille FR,26.0
ZA,South Africa,3454,wikipedia,185.15.58.224,WIKIMEDIA - Wikimedia Fo,text-lb.drmrs.wikimedia.org,181.804,cpt01,ZA,True,40.2,Marseille FR,26.0
ZA,South Africa,4153,wikipedia,185.15.58.224,WIKIMEDIA - Wikimedia Fo,text-lb.drmrs.wikimedia.org,178.524,cpt01,ZA,True,40.2,Marseille FR,26.0
ZM,Zambia,21336,wikipedia,185.15.58.224,WIKIMEDIA - Wikimedia Fo,text-lb.drmrs.wikimedia.org,193.345,jnb01,ZA,False,0.1,Marseille FR,25.7
