cc,country,probe,target,ip,host,rdns,rtt,server,server_cc,domestic,school_cov,serve_loc,mlab_rtt
NA,Namibia,12385,googleclassroom,142.251.47.14,GOOGLE - Google LLC,tzjnba-ar-in-f14.1e100.net,18.274,cpt01,ZA,False,6.8,Johannesburg ZA,42.0
NA,Namibia,12803,googleclassroom,142.251.216.78,GOOGLE - Google LLC,jnb07s02-in-f14.1e100.net,62.258,cpt01,ZA,False,6.8,Johannesburg ZA,42.0
RW,Rwanda,14955,googleclassroom,172.217.170.206,GOOGLE - Google LLC,mba01s10-in-f14.1e100.net,20.546,nbo01,KE,False,0.0,,160.7
TT,Trinidad and Tobago,18923,googleclassroom,142.251.132.14,GOOGLE - Google LLC,ncboga-ae-in-f14.1e100.net,108.675,bog05,CO,False,7.7,Bogota CO,114.4
UZ,Uzbekistan,7355,googleclassroom,172.217.20.174,GOOGLE - Google LLC,par10s49-in-f14.1e100.net,,lyp138910,PK,False,81.8,,226.4
ZA,South Africa,242,googleclassroom,192.178.54.174,GOOGLE - Google LLC,tzjnba-ai-in-f14.1e100.net,23.473,cpt01,ZA,True,40.2,Johannesburg ZA,26.0
ZA,South Africa,3454,googleclassroom,142.251.47.46,GOOGLE - Google LLC,lcjnbi-aj-in-f14.1e100.net,17.815,cpt01,ZA,True,40.2,Johannesburg ZA,26.0
ZA,South Africa,4153,googleclassroom,142.251.216.142,GOOGLE - Google LLC,lcjnbi-ag-in-f14.1e100.net,29.945,cpt01,ZA,True,40.2,Johannesburg ZA,26.0
ZM,Zambia,21336,googleclassroom,142.251.47.206,GOOGLE - Google LLC,jnb03s11-in-f14.1e100.net,62.465,jnb01,ZA,False,0.1,Johannesburg ZA,25.7
AL,Albania,16235,youtube,142.251.150.4,GOOGLE - Google LLC,?,8.288,tgd01,ME,False,82.4,,32.3
AL,Albania,21663,youtube,142.251.150.4,GOOGLE - Google LLC,?,19.061,tgd01,ME,False,82.4,,32.3
BA,Bosnia and Herzegovina,4475,youtube,142.251.150.4,GOOGLE - Google LLC,?,,beg01,RS,False,56.3,,25.5
BA,Bosnia and Herzegovina,14628,youtube,142.251.150.4,GOOGLE - Google LLC,?,24.109,beg01,RS,False,56.3,,25.5
BA,Bosnia and Herzegovina,33681,youtube,142.251.150.4,GOOGLE - Google LLC,?,27.212,beg01,RS,False,56.3,,25.5
BJ,Benin,13245,youtube,142.251.150.4,GOOGLE - Google LLC,?,108.786,los02,NG,False,0.0,,12.7
BJ,Benin,60812,youtube,142.251.150.4,GOOGLE - Google LLC,?,26.791,los02,NG,False,0.0,,12.7
BJ,Benin,64328,youtube,142.251.150.4,GOOGLE - Google LLC,?,101.55,los02,NG,False,0.0,,12.7
BW,Botswana,60649,youtube,142.251.150.4,GOOGLE - Google LLC,?,8.317,jnb01,ZA,False,0.0,,22.3
CG,Congo (Brazzaville),64655,youtube,142.251.150.4,GOOGLE - Google LLC,?,107.339,los02,NG,False,0.0,,
CG,Congo (Brazzaville),65677,youtube,142.251.150.4,GOOGLE - Google LLC,?,46.768,los02,NG,False,0.0,,
FJ,Fiji,60575,youtube,142.251.150.4,GOOGLE - Google LLC,?,38.907,akl01,NZ,False,0.0,,89.7
HN,Honduras,23023,youtube,142.251.150.4,GOOGLE - Google LLC,?,37.392,mex01,MX,False,65.8,,80.5
HN,Honduras,61860,youtube,142.251.150.4,GOOGLE - Google LLC,?,45.678,mex01,MX,False,65.8,,80.5
KE,Kenya,4078,youtube,142.251.150.4,GOOGLE - Google LLC,?,53.464,nbo01,KE,True,13.6,,19.5
KE,Kenya,22218,youtube,142.251.150.4,GOOGLE - Google LLC,?,18.554,nbo01,KE,True,13.6,,19.5
KE,Kenya,50022,youtube,142.251.150.4,GOOGLE - Google LLC,?,8.542,nbo01,KE,True,13.6,,19.5
KG,Kyrgyzstan,64119,youtube,142.251.150.4,GOOGLE - Google LLC,?,101.613,lhe152605,PK,False,73.7,,235.0
KG,Kyrgyzstan,65240,youtube,142.251.150.4,GOOGLE - Google LLC,?,93.517,lhe152605,PK,False,73.7,,235.0
KN,Saint Kitts and Nevis,1000988,youtube,142.251.150.4,GOOGLE - Google LLC,?,43.815,bog05,CO,False,0.0,,170.7
KZ,Kazakhstan,4485,youtube,142.251.150.4,GOOGLE - Google LLC,?,71.793,lhe152605,PK,False,68.2,,233.7
KZ,Kazakhstan,6730,youtube,142.251.150.4,GOOGLE - Google LLC,?,92.373,lhe152605,PK,False,68.2,,233.7
KZ,Kazakhstan,6881,youtube,142.251.150.4,GOOGLE - Google LLC,?,66.761,lhe152605,PK,False,68.2,,233.7
LC,Saint Lucia,27546,youtube,142.251.150.4,GOOGLE - Google LLC,?,64.498,bog05,CO,False,0.8,,121.9
LK,Sri Lanka,35547,youtube,142.251.150.4,GOOGLE - Google LLC,?,40.057,maa01,IN,False,85.2,,174.9
LK,Sri Lanka,64185,youtube,142.251.150.4,GOOGLE - Google LLC,?,29.856,maa01,IN,False,85.2,,174.9
LS,Lesotho,62155,youtube,142.251.150.4,GOOGLE - Google LLC,?,12.605,jnb01,ZA,False,0.0,,13.5
MD,Republic of Moldova,11874,youtube,142.251.150.4,GOOGLE - Google LLC,?,56.393,sof02,BG,False,92.3,,42.1
MD,Republic of Moldova,35796,youtube,142.251.150.4,GOOGLE - Google LLC,?,36.07,sof02,BG,False,92.3,,42.1
MD,Republic of Moldova,64063,youtube,142.251.150.4,GOOGLE - Google LLC,?,37.407,sof02,BG,False,92.3,,42.1
ME,Montenegro,33300,youtube,142.251.150.4,GOOGLE - Google LLC,?,27.397,tgd01,ME,True,62.1,,6.1
ME,Montenegro,65986,youtube,142.251.150.4,GOOGLE - Google LLC,?,16.235,tgd01,ME,True,62.1,,6.1
ME,Montenegro,1003553,youtube,142.251.150.4,GOOGLE - Google LLC,?,17.265,tgd01,ME,True,62.1,,6.1
MN,Mongolia,51529,youtube,142.251.150.4,GOOGLE - Google LLC,?,54.463,uln10076,MN,True,12.9,,10.5
MN,Mongolia,52385,youtube,142.251.150.4,GOOGLE - Google LLC,?,52.621,uln10076,MN,True,12.9,,10.5
MN,Mongolia,65904,youtube,142.251.150.4,GOOGLE - Google LLC,?,53.96,uln10076,MN,True,12.9,,10.5
MW,Malawi,1004128,youtube,142.251.150.4,GOOGLE - Google LLC,?,51.432,mpm02,MZ,False,0.0,,43.5
NA,Namibia,12385,youtube,142.251.150.4,GOOGLE - Google LLC,?,18.192,cpt01,ZA,False,6.8,,42.0
NA,Namibia,12803,youtube,142.251.150.4,GOOGLE - Google LLC,?,94.794,cpt01,ZA,False,6.8,,42.0
RW,Rwanda,14955,youtube,142.251.150.4,GOOGLE - Google LLC,?,21.472,nbo01,KE,False,0.0,,160.7
TT,Trinidad and Tobago,18923,youtube,142.251.150.4,GOOGLE - Google LLC,?,63.567,bog05,CO,False,7.7,,114.4
UZ,Uzbekistan,7355,youtube,142.251.150.4,GOOGLE - Google LLC,?,3061.426,lyp138910,PK,False,81.8,,226.4
ZA,South Africa,242,youtube,142.251.150.4,GOOGLE - Google LLC,?,86.905,cpt01,ZA,True,40.2,,26.0
ZA,South Africa,3454,youtube,142.251.150.4,GOOGLE - Google LLC,?,17.838,cpt01,ZA,True,40.2,,26.0
ZA,South Africa,4153,youtube,142.251.150.4,GOOGLE - Google LLC,?,26.856,cpt01,ZA,True,40.2,,26.0
ZM,Zambia,21336,youtube,142.251.150.4,GOOGLE - Google LLC,?,53.758,jnb01,ZA,False,0.1,,25.7
AL,Albania,16235,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,8.441,tgd01,ME,False,82.4,,32.3
AL,Albania,21663,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,46.241,tgd01,ME,False,82.4,,32.3
BA,Bosnia and Herzegovina,4475,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,,beg01,RS,False,56.3,,25.5
BA,Bosnia and Herzegovina,14628,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,15.561,beg01,RS,False,56.3,,25.5
BA,Bosnia and Herzegovina,33681,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,9.055,beg01,RS,False,56.3,,25.5
BJ,Benin,13245,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,97.186,los02,NG,False,0.0,,12.7
BJ,Benin,60812,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,75.531,los02,NG,False,0.0,,12.7
BJ,Benin,64328,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,100.514,los02,NG,False,0.0,,12.7
BW,Botswana,60649,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,7.829,jnb01,ZA,False,0.0,,22.3
CG,Congo (Brazzaville),64655,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,60.986,los02,NG,False,0.0,,
CG,Congo (Brazzaville),65677,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,72.514,los02,NG,False,0.0,,
FJ,Fiji,60575,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,38.637,akl01,NZ,False,0.0,,89.7
HN,Honduras,23023,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,72.686,mex01,MX,False,65.8,,80.5
HN,Honduras,61860,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,41.885,mex01,MX,False,65.8,,80.5
KE,Kenya,4078,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,12.177,nbo01,KE,True,13.6,,19.5
KE,Kenya,22218,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,15.44,nbo01,KE,True,13.6,,19.5
KE,Kenya,50022,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,54.814,nbo01,KE,True,13.6,,19.5
KG,Kyrgyzstan,64119,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,33.75,lhe152605,PK,False,73.7,,235.0
KG,Kyrgyzstan,65240,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,0.807,lhe152605,PK,False,73.7,,235.0
KN,Saint Kitts and Nevis,1000988,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,45.911,bog05,CO,False,0.0,,170.7
KZ,Kazakhstan,4485,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,17.743,lhe152605,PK,False,68.2,,233.7
KZ,Kazakhstan,6730,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,24.321,lhe152605,PK,False,68.2,,233.7
KZ,Kazakhstan,6881,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,56.016,lhe152605,PK,False,68.2,,233.7
LC,Saint Lucia,27546,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,59.183,bog05,CO,False,0.8,,121.9
LK,Sri Lanka,35547,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,3.709,maa01,IN,False,85.2,,174.9
LK,Sri Lanka,64185,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,2.839,maa01,IN,False,85.2,,174.9
LS,Lesotho,62155,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,12.187,jnb01,ZA,False,0.0,,13.5
MD,Republic of Moldova,11874,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,0.8290000000000001,sof02,BG,False,92.3,,42.1
MD,Republic of Moldova,35796,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,0.505,sof02,BG,False,92.3,,42.1
MD,Republic of Moldova,64063,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,3.243,sof02,BG,False,92.3,,42.1
ME,Montenegro,33300,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,21.722,tgd01,ME,True,62.1,,6.1
ME,Montenegro,65986,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,10.074,tgd01,ME,True,62.1,,6.1
