country,traces,school,school_pct,schools,window,tvd,school_weekday_pct,other_weekday_pct,shared_ip_pct,metric,kind,cells,networks,servers,cell_traces,n_school,n_other,crude,stratified,lo,hi
KZ,68290,49340,72.3,509,2026-02-01..2026-07-31,0.415,94.1,75.7,12.9,ndt_throughput,logratio,79,10,3,51170,40183,10987,0.2349113256600998,0.13379021123746002,-0.08796612704148543,0.32887210507839865
KZ,68290,49340,72.3,509,2026-02-01..2026-07-31,0.415,94.1,75.7,12.9,is_reaching_dst_asn,pp,79,10,3,51170,40183,10987,-5.625073063556663,3.226160926473363,1.2503845473393689,5.853764376312967
LC,612,461,75.3,6,2026-02-01..2026-07-31,0.319,97.4,92.7,6.6,ndt_rtt,diff,1,1,1,152,122,30,16.689000000000007,16.689000000000007,,
LC,612,461,75.3,6,2026-02-01..2026-07-31,0.319,97.4,92.7,6.6,ndt_throughput,logratio,1,1,1,152,122,30,-0.5173101054990309,-0.5173101054990309,,
LC,612,461,75.3,6,2026-02-01..2026-07-31,0.319,97.4,92.7,6.6,is_reaching_dst_asn,pp,1,1,1,152,122,30,0.0,0.0,,
LK,318611,149044,46.8,3252,2026-02-01..2026-07-31,0.609,98.2,76.9,17.5,ndt_rtt,diff,97,5,4,278946,148113,130833,7.8770000000000095,-5.192304902693942,-15.725973781009627,4.190442284159595
LK,318611,149044,46.8,3252,2026-02-01..2026-07-31,0.609,98.2,76.9,17.5,ndt_throughput,logratio,97,5,4,278946,148113,130833,1.249742647346005,0.6411676622391748,0.4253250096586481,0.8144183140588093
LK,318611,149044,46.8,3252,2026-02-01..2026-07-31,0.609,98.2,76.9,17.5,is_reaching_dst_asn,pp,97,5,4,278946,148113,130833,-13.913846442540805,-4.674232692588147,-8.709133509959587,0.6612330612010955
LS,1678,1077,64.2,7,2026-02-01..2026-07-31,0.414,92.0,77.5,3.0,ndt_rtt,diff,5,1,1,853,624,229,-9.320999999999998,-9.761396004472568,-10.92391283062984,-8.663831132839759
LS,1678,1077,64.2,7,2026-02-01..2026-07-31,0.414,92.0,77.5,3.0,ndt_throughput,logratio,5,1,1,853,624,229,1.6904536581999379,1.148354389381606,0.6505331805651376,1.583803324029982
LS,1678,1077,64.2,7,2026-02-01..2026-07-31,0.414,92.0,77.5,3.0,is_reaching_dst_asn,pp,5,1,1,853,624,229,37.16549098645169,38.075346317973505,30.355661792426343,45.73873642500734
MD,32769,26550,81.0,79,2026-02-01..2026-07-31,0.41,92.3,74.3,10.1,ndt_rtt,diff,42,3,2,23580,19932,3648,-2.792500000000004,-3.011905912661023,-4.7878670043658325,-0.9419268203121612
MD,32769,26550,81.0,79,2026-02-01..2026-07-31,0.41,92.3,74.3,10.1,ndt_throughput,logratio,42,3,2,23580,19932,3648,0.04745310992070003,-0.00018748468263977966,-0.07838881168935839,0.07248209391677288
MD,32769,26550,81.0,79,2026-02-01..2026-07-31,0.41,92.3,74.3,10.1,is_reaching_dst_asn,pp,42,3,2,23580,19932,3648,24.300021388510416,20.63441288525354,11.113070447405779,29.066439401800267
ME,94577,78854,83.4,344,2026-02-01..2026-07-31,0.446,92.7,73.1,35.5,ndt_rtt,diff,46,4,2,89996,76096,13900,-3.708500000000001,-1.9592651844780433,-3.64585812001843,-0.4815589129624001
ME,94577,78854,83.4,344,2026-02-01..2026-07-31,0.446,92.7,73.1,35.5,ndt_throughput,logratio,46,4,2,89996,76096,13900,-0.002857365050083022,0.30436195391127013,0.06514822195950426,0.553762239520775
ME,94577,78854,83.4,344,2026-02-01..2026-07-31,0.446,92.7,73.1,35.5,is_reaching_dst_asn,pp,46,4,2,89996,76096,13900,20.40035419099539,1.7206516263115543,0.7079846376801785,2.920288343891785
MN,109412,97909,89.5,651,2026-02-01..2026-07-31,0.337,88.4,75.5,58.9,ndt_rtt,diff,62,7,3,86902,77798,9104,1.032,3.0653651900923022,1.9693382465489562,4.33702178802372
MN,109412,97909,89.5,651,2026-02-01..2026-07-31,0.337,88.4,75.5,58.9,ndt_throughput,logratio,62,7,3,86902,77798,9104,0.6808102417297492,0.3659761556815738,0.2488667480773386,0.4864289526066368
MN,109412,97909,89.5,651,2026-02-01..2026-07-31,0.337,88.4,75.5,58.9,is_reaching_dst_asn,pp,62,7,3,86902,77798,9104,24.965016596312633,19.899947793689325,10.767236316317286,26.003529473510987
MW,28214,15582,55.2,142,2025-11-01..2026-07-31,0.269,80.7,71.5,80.5,ndt_rtt,diff,33,4,1,17725,14243,3482,-25.543000000000006,0.6391078558391486,-8.405514044788209,8.67668567768204
MW,28214,15582,55.2,142,2025-11-01..2026-07-31,0.269,80.7,71.5,80.5,ndt_throughput,logratio,33,4,1,17725,14243,3482,0.5516686834425625,-0.14000032749079624,-0.31958994363081183,0.03348606438843704
MW,28214,15582,55.2,142,2025-11-01..2026-07-31,0.269,80.7,71.5,80.5,is_reaching_dst_asn,pp,33,4,1,17725,14243,3482,10.93054850891011,-6.6640550107063365,-10.861475018002874,-2.239659591592651
NA,40689,11609,28.5,80,2026-02-01..2026-07-31,0.408,90.1,75.2,8.0,ndt_rtt,diff,29,3,3,21498,10726,10772,70.3695,63.40152916256616,39.94951697063911,83.74898030218274
NA,40689,11609,28.5,80,2026-02-01..2026-07-31,0.408,90.1,75.2,8.0,ndt_throughput,logratio,29,3,3,21498,10726,10772,-2.594160257755597,-0.7244183127396169,-1.5396295059423022,0.0344804991430393
NA,40689,11609,28.5,80,2026-02-01..2026-07-31,0.408,90.1,75.2,8.0,is_reaching_dst_asn,pp,29,3,3,21498,10726,10772,0.027690729876894693,0.10035299831198334,-0.03269795853404091,0.3870649474813235
RW,5269,3249,61.7,29,2026-02-01..2026-07-31,0.278,83.0,75.1,26.5,ndt_rtt,diff,17,3,1,3453,2308,1145,-8.462999999999994,8.068090360510096,2.3584365854703715,14.024092635051055
RW,5269,3249,61.7,29,2026-02-01..2026-07-31,0.278,83.0,75.1,26.5,ndt_throughput,logratio,17,3,1,3453,2308,1145,-0.516303588626006,-0.4919859716992345,-0.6680008447135106,-0.3079074841869792
RW,5269,3249,61.7,29,2026-02-01..2026-07-31,0.278,83.0,75.1,26.5,is_reaching_dst_asn,pp,17,3,1,3453,2308,1145,-11.14956142674427,-2.5619665106183467,-5.29958828720215,0.456229394808716
TT,5206,2473,47.5,21,2026-02-01..2026-07-31,0.333,81.1,76.0,12.6,ndt_rtt,diff,14,2,2,1940,1052,888,1.3599999999999994,-2.1685977183174145,-5.044007422044966,0.5153176488252587
TT,5206,2473,47.5,21,2026-02-01..2026-07-31,0.333,81.1,76.0,12.6,ndt_throughput,logratio,14,2,2,1940,1052,888,0.011512294855564164,0.12104250953244014,-0.34525368894174424,0.6667917064065126
TT,5206,2473,47.5,21,2026-02-01..2026-07-31,0.333,81.1,76.0,12.6,is_reaching_dst_asn,pp,14,2,2,1940,1052,888,3.6952351591134858,2.9384707292536714,-4.129884247546314,10.977783405352117
UZ,86171,76025,88.2,6167,2026-02-01..2026-07-31,0.38,87.8,80.5,72.2,ndt_rtt,diff,65,5,2,81302,72808,8494,-0.2944999999999993,-0.13570497861500425,-1.593528617442157,1.2831040780445113
UZ,86171,76025,88.2,6167,2026-02-01..2026-07-31,0.38,87.8,80.5,72.2,ndt_throughput,logratio,65,5,2,81302,72808,8494,0.5890349691374211,0.1385095565950337,0.06677674424918802,0.19825409325969048
UZ,86171,76025,88.2,6167,2026-02-01..2026-07-31,0.38,87.8,80.5,72.2,is_reaching_dst_asn,pp,65,5,2,81302,72808,8494,-7.224792906292662,-10.77178257352095,-14.173918453664514,-8.034016021059664
VC,2435,1896,77.9,18,2026-02-01..2026-07-31,0.439,92.2,75.9,11.7,ndt_rtt,diff,2,1,2,281,208,73,2.2480000000000047,1.6287244479334608,0.5990000000000038,2.82950000000001
VC,2435,1896,77.9,18,2026-02-01..2026-07-31,0.439,92.2,75.9,11.7,ndt_throughput,logratio,2,1,2,281,208,73,-0.3801214819585369,-0.4464678019264615,-0.5036822774889698,-0.3797492311305114
VC,2435,1896,77.9,18,2026-02-01..2026-07-31,0.439,92.2,75.9,11.7,is_reaching_dst_asn,pp,2,1,2,281,208,73,-40.615121180189675,-40.39738223649697,-46.34146341463415,-33.46590909090909
ZA,85169,10882,12.8,178,2026-02-01..2026-07-31,0.41,91.2,74.4,38.8,ndt_rtt,diff,63,12,4,37501,7956,29545,1.8049999999999997,1.0611262327841544,-0.06521615261629171,2.6161750372327157
ZA,85169,10882,12.8,178,2026-02-01..2026-07-31,0.41,91.2,74.4,38.8,ndt_throughput,logratio,63,12,4,37501,7956,29545,0.26398292008572144,-0.17699950395370312,-0.3269042033993892,-0.0014552244579281667
ZA,85169,10882,12.8,178,2026-02-01..2026-07-31,0.41,91.2,74.4,38.8,is_reaching_dst_asn,pp,63,12,4,37501,7956,29545,-11.808754206691546,-1.8682204872411525,-4.211111261331812,-0.48821787426943114
ZM,12983,6717,51.7,57,2026-02-01..2026-07-31,0.352,86.0,73.8,46.4,ndt_rtt,diff,14,3,1,8151,5559,2592,7.765000000000001,7.483471256436187,2.8203858660648113,14.13806759964585
ZM,12983,6717,51.7,57,2026-02-01..2026-07-31,0.352,86.0,73.8,46.4,ndt_throughput,logratio,14,3,1,8151,5559,2592,-0.10327021283706708,-0.1694796645021337,-0.3658988650477308,-0.03888356952207338
ZM,12983,6717,51.7,57,2026-02-01..2026-07-31,0.352,86.0,73.8,46.4,is_reaching_dst_asn,pp,14,3,1,8151,5559,2592,-0.6099343407087605,0.43332149475484766,-0.6544863456062463,2.6514359805319727
