cc,country,traces,server_domestic_pct,unreadable_pct,readable,domestic_handoff_pct
AL,Albania,94,0.0,0.0,94,0.0
BW,Botswana,4346,0.0,78.5,908,0.0
FJ,Fiji,8512,0.0,0.1,8194,0.0
KE,Kenya,6750,96.4,85.2,961,100.0
KZ,Kazakhstan,10717,0.0,0.0,3132,82.4
LS,Lesotho,82,0.0,86.6,4,0.0
MN,Mongolia,7831,89.3,2.1,7662,0.0
MW,Malawi,20092,0.0,40.2,6355,0.0
RW,Rwanda,133,0.0,88.7,8,0.0
